Axis1
Number of sampling data,2560
Sampling time interval(ms),0.889
Time,Analog 1,Analog 2,Analog 3,Analog 4,Analog 5,Analog 6,Analog 7,Digital 1,Digital 2,Digital 3,Digital 4,Digital 5,Digital 6,Digital 7,Digital 8
ms,Servo motor speed,Torque,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
0.000000,0,3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
0.888888,0,3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.777776,0,3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
2.666664,0,3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
3.555552,0,3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
4.444440,0,3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
5.333328,0,3.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
6.222216,0,3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
7.111104,0,3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
7.999992,0,3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
8.888880,0,3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
9.777768,0,3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
10.666656,0,3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
11.555544,0,3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
12.444432,0,3.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
13.333320,0,3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
14.222208,0,3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
15.111096,0,3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
15.999984,0,3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
16.888872,0,3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
17.777760,0,3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
18.666648,0,3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
19.555536,0,3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
20.444424,0,3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
21.333312,0,3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
22.222200,0,3.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
23.111088,0,3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
23.999976,0,3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
24.888864,0,3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.777752,0,3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.666640,0,3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
27.555528,0,3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
28.444416,0,3.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
29.333304,0,3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
30.222192,0,3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
31.111080,0,3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
31.999968,0,3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
32.888856,0,3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
33.777744,0,3.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
34.666632,0,3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
